time_s,ecg
0.618,0.4652876768716366
0.619,0.4597625279546264
0.62,0.45659969584215715
0.621,0.45616448903225343
0.622,0.45734308501267956
0.623,0.4585998169755346
0.624,0.4590647651028629
0.625,0.4585089838265093
0.626,0.45795024737873724
0.627,0.4602527891566144
0.628,0.46910202461857814
0.629,0.4872986464618413
0.63,0.5151161056222798
0.631,0.5489422908665285
0.632,0.5821256391653841
0.633,0.6089066450488371
0.634,0.6259033853432547
0.635,0.6321034474904861
0.636,0.629174301027237
0.637,0.6202963688019754
0.638,0.6084442048237386
0.639,0.5953097200845898
0.64,0.5819732370513231
0.641,0.5698868957055682
0.642,0.5599642426685246
0.643,0.5520444860562765
0.644,0.5457860400006774
0.645,0.5414125675707518
0.646,0.5386388096462634
0.647,0.5367930984766693
0.648,0.5357448557672924
0.649,0.535598229259698
0.65,0.5360109121767076
0.651,0.5365130982419747
0.652,0.5371676114134262
0.653,0.538399772046174
0.654,0.5406044723002248
0.655,0.543813417588131
0.656,0.5480885519143086
0.657,0.5534503732644773
0.658,0.5592154786280592
0.659,0.5644737592448453
0.66,0.5685956608141852
0.661,0.5711882059604673
0.662,0.5722930754492594
0.663,0.5722061774356645
0.664,0.5711644708292761
0.665,0.5695102394882001
0.666,0.5678545156292915
0.667,0.5670602988994103
0.668,0.5685475661806854
0.669,0.5726986305344791
0.67,0.5781644711404997
0.671,0.5834622670176889
0.672,0.5874697711580865
0.673,0.5892803779471087
0.674,0.589368387188499
0.675,0.5895932024618424
0.676,0.591133601016599
0.677,0.5936668753558301
0.678,0.5946760257658847
0.679,0.5906542666564261
0.68,0.5793743773530947
0.681,0.5621159734716406
0.682,0.5423149671881303
0.683,0.5236727429989383
0.684,0.5091054355843474
0.685,0.5001028236004498
0.686,0.49793188453037407
0.687,0.5033401274216931
0.688,0.5161821029737582
0.689,0.5342277374348476
0.69,0.5533208089651623
0.691,0.5695172318891032
0.692,0.5803219935239825
0.693,0.5860700325121807
0.694,0.5887197378272196
0.695,0.5898357959908762
0.696,0.5899115817265178
0.697,0.5889044530565335
0.698,0.5870777973600771
0.699,0.5854811053942437
0.7,0.5855586079768291
0.701,0.5887098916544351
0.702,0.5953986794257451
0.703,0.6040729235961207
0.704,0.6120113016081489
0.705,0.6175955872903566
0.706,0.620494139568848
0.707,0.6211407137122195
0.708,0.6210805073902682
0.709,0.6220639662136946
0.71,0.6248137660669162
0.711,0.6291285191365843
0.712,0.6346424168721662
0.713,0.6402991469669389
0.714,0.6445391755235098
0.715,0.6464266758033823
0.716,0.646145990774559
0.717,0.6447417877709856
0.718,0.643464322381022
0.719,0.6426149644443844
0.72,0.641088357615603
0.7209999999999999,0.6377652135307221
0.7219999999999999,0.6330823780606453
0.7229999999999999,0.6279375190758933
0.7239999999999999,0.6229620139852202
0.7249999999999999,0.6194502473162904
0.7259999999999999,0.6184624991535742
0.7269999999999999,0.6196511704975167
0.728,0.6223806987776815
0.729,0.6266996717349019
0.73,0.6322586554547271
0.731,0.6382014398921269
0.732,0.6439545710816964
0.733,0.6488545751888506
0.734,0.6518347881254344
0.735,0.6524122133411715
0.736,0.6515952858932231
0.737,0.6506523257667977
0.738,0.6502237772949405
0.739,0.6504090655010865
0.74,0.6507295991586506
0.741,0.6505879287270236
0.742,0.6501302417788205
0.743,0.6499349296034431
0.744,0.650170976611728
0.745,0.6501534518548782
0.746,0.6489021204591087
0.747,0.6460041161548234
0.748,0.6418046751934773
0.749,0.6373094809544031
0.75,0.6337822355768024
0.751,0.6323314582382572
0.752,0.6326985599801368
0.753,0.6338154946247171
0.754,0.6348871939638183
0.755,0.635412871384679
0.756,0.6353460997900094
0.757,0.6346257047006421
0.758,0.6335755645698047
0.759,0.6329859332112532
0.76,0.6330637142953055
0.761,0.6334925530754242
0.762,0.6342705340726981
0.763,0.6349614677351417
0.764,0.634990017260756
0.765,0.6352633355438136
0.766,0.6369827695648156
0.767,0.6406684399111277
0.768,0.6467270205354568
0.769,0.6552399533229231
0.77,0.6656589161137498
0.771,0.6776721775635465
0.772,0.6908284305606877
0.773,0.7037878997001401
0.774,0.7146586106211213
0.775,0.7216592353034633
0.776,0.723119666433481
0.777,0.7188297048559271
0.778,0.7097390218185933
0.779,0.6953533091667635
0.78,0.6750285416358219
0.781,0.6501620576196364
0.782,0.623594867937906
0.783,0.5983638185572843
0.784,0.5786328217084326
0.785,0.5676782880967804
0.786,0.5661330279204189
0.787,0.5733717880247827
0.788,0.5889505551196896
0.789,0.6121585976304892
0.79,0.6413165197681604
0.791,0.6733647572082916
0.792,0.7050614292601555
0.793,0.7329950429784883
0.794,0.7537663844851628
0.795,0.7662864936008276
0.796,0.7721529929445949
0.797,0.7737945347587657
0.798,0.7736087923382583
0.799,0.7746568051623853
0.8,0.7802139553563481
0.801,0.7922517749404213
0.802,0.8106223039336546
0.803,0.8334309489502543
0.804,0.857216388201578
0.805,0.877351775430017
0.806,0.8897689327630299
0.807,0.8937849850232429
0.808,0.8917609995784432
0.809,0.886561881423998
0.81,0.8807174538423156
0.811,0.8757657193032193
0.812,0.8721396823020261
0.8129999999999998,0.8703369096689612
0.8139999999999998,0.8710527181656036
0.8149999999999998,0.8747999692837469
0.8159999999999998,0.8818094740652073
0.8169999999999998,0.8913952139469837
0.8179999999999998,0.9010135134976813
0.8189999999999998,0.908148312685653
0.8199999999999998,0.9123582630838735
0.8209999999999998,0.914378764135017
0.8219999999999998,0.9150182389218103
0.8229999999999998,0.915545377607222
0.8239999999999998,0.9165135021815904
0.8249999999999998,0.916969172251345
0.8259999999999998,0.915932668274591
0.8269999999999998,0.9127040410588774
0.8279999999999998,0.9074885038192384
0.8289999999999998,0.9013828106089733
0.8299999999999998,0.8958670092012746
0.8309999999999998,0.8919350859138943
0.8319999999999999,0.8906382330714886
0.8329999999999999,0.8937220853629215
0.8339999999999999,0.9026029678979786
0.8349999999999999,0.9166710784500717
0.8359999999999999,0.9333488109415913
0.8369999999999999,0.9496182859807971
0.8379999999999999,0.9614284844413439
0.8389999999999999,0.9660305614313959
0.8399999999999999,0.9640015921299346
0.8409999999999999,0.9573888588724885
0.8419999999999999,0.9494459248264991
0.8429999999999999,0.9429943779388357
0.8439999999999999,0.9393670220491529
0.8449999999999999,0.9383900951616111
0.8459999999999999,0.9391710271631991
0.8469999999999999,0.9407647007565334
0.8479999999999999,0.9421126235448604
0.8489999999999999,0.9422543550940162
0.8499999999999999,0.9402216472055409
0.8509999999999999,0.9352868290260767
0.8519999999999999,0.927330060194036
0.853,0.9176232492658886
0.854,0.9087977558802893
0.855,0.9035550164787379
0.856,0.9042526418160615
0.857,0.9128992018294693
0.858,0.9296629621043184
0.859,0.9508452162032198
0.86,0.9707456725127891
0.861,0.9848870463134287
0.862,0.9911877079129721
0.863,0.990437743746488
0.864,0.9869268084148525
0.865,0.9850429918551215
0.866,0.9864518335402235
0.867,0.9906026714813536
0.868,0.995824442014407
0.869,1.0000602145685218
0.87,1.002554537595457
0.871,1.0036852896631547
0.872,1.004082477897593
0.873,1.00425825954995
0.874,1.0043862063183049
0.875,1.0043820725509063
0.876,1.0040059170805642
0.877,1.0029254515431922
0.878,1.0007220673995618
0.879,0.9968790367796699
0.88,0.9912209454308486
0.881,0.9842619376184772
0.882,0.9767211187131641
0.883,0.9696414523977405
0.884,0.9650555784979795
0.885,0.9646302171663426
0.886,0.968438225358713
0.887,0.975746336495267
0.888,0.9853277238366734
0.889,0.9959568843937133
0.89,1.0067403667108297
0.891,1.017468862004046
0.892,1.0272185524347468
0.893,1.0342507575165139
0.894,1.0376153885966155
0.895,1.0377010781499831
0.896,1.0365969795754737
0.897,1.0376030352161183
0.898,1.043703786935281
0.899,1.054896118433513
0.9,1.068644437072594
0.901,1.0812458297234164
0.902,1.0896007549471127
0.903,1.093447842242976
0.904,1.0944779191559695
0.905,1.0944930735250284
0.906,1.0945011410388226
0.907,1.0952962106360364
0.908,1.0969941076733298
0.909,1.0996408196184957
0.91,1.104524315047715
0.911,1.112909824038409
0.912,1.1241560723092707
0.913,1.1368216348926885
0.914,1.1493093107415944
0.915,1.1583871660430656
0.916,1.1610719917125765
0.917,1.1572497757783256
0.918,1.1493420370946845
0.919,1.1398501848493356
0.92,1.1298606727084324
0.921,1.1178936605594783
0.922,1.10262668592649
0.923,1.0897890274944098
0.924,1.0954320867092298
0.925,1.145213104925985
0.926,1.2738136815170482
0.927,1.518957977699414
0.928,1.909781894548436
0.929,2.461622007061033
0.93,3.1768320526686393
0.931,4.041510087573033
0.932,5.0243217215136635
0.933,6.07930892520586
0.934,7.1534740176679135
0.935,8.198820444449177
0.936,9.175239854398002
0.937,10.04602810243172
0.938,10.77690449169131
0.939,11.341657323295493
0.94,11.733940893415074
0.941,11.966364076736532
0.942,12.064720349059057
0.943,12.07435747211409
0.944,12.05375088124035
0.945,12.057472521335882
0.946,12.131372741628429
0.947,12.318069545684022
0.948,12.656644553231503
0.949,13.18862965587329
0.95,13.975644379509294
0.951,15.097313012847675
0.952,16.6274405835464
0.953,18.614800332473035
0.954,21.078722447722924
0.955,23.981279896776613
0.956,27.19465327743119
0.957,30.529736661133718
0.958,33.79657238406165
0.959,36.83573707961162
0.96,39.52271442019711
0.961,41.797601758809805
0.962,43.67676818303201
0.963,45.22327418951689
0.964,46.52041760410045
0.965,47.646345906946685
0.966,48.66562747804369
0.967,49.63106972631035
0.968,50.57297313066383
0.969,51.48965098621428
0.97,52.3486688767765
0.971,53.106095337948155
0.972,53.7252178300151
0.973,54.17587160636829
0.974,54.45349841614741
0.975,54.588618180062035
0.976,54.63013106202946
0.977,54.63177384772425
0.978,54.64281909919504
0.979,54.70017944938894
0.98,54.82549562693576
0.981,55.03078688905376
0.982,55.32125102181307
0.983,55.69887904608594
0.984,56.162540326483594
0.985,56.708275074987164
0.986,57.334076448229624
0.987,58.0372264274727
0.988,58.80284932986536
0.9890000000000002,59.60661568750289
0.9900000000000002,60.42884638190058
0.9910000000000002,61.256713319519605
0.9920000000000002,62.07485514220514
0.9930000000000001,62.8694173111367
0.9940000000000001,63.6380885808447
0.9950000000000001,64.38034857724294
0.9960000000000001,65.09530658457977
