beat_index,peak_sample,peak_time_s,peak_value,rr_prev_s,rr_next_s,rr_baseline_s,prematurity_index,compensatory_pause_index,qrs_width_ms,qrs_peak_to_peak,qrs_area_abs,qrs_max_slope,template_corr,is_extrasystole_candidate
52,24077,24.077,-167.33508119672967,0.7070000000000007,0.4399999999999977,0.4229999999999947,1.6713947990543963,1.040189125295516,87.99999999995123,313.720246759589,5.837307183473411,21735.21219771115,0.827483428750976,0
53,24517,24.517,-198.13882252638226,0.4399999999999977,0.375,0.4229999999999947,1.040189125295516,0.8865248226950465,151.99999999991576,247.08882952340235,7.755127523221523,10830.702565151372,0.5869824673829562,0
54,24892,24.892,-49.8837348519231,0.375,0.26000000000000156,0.4229999999999947,0.8865248226950465,0.6146572104019026,209.9999999998836,28.204606915993867,1.1002200536410687,1729.4435192517803,0.570162313994184,0
55,25152,25.152,-8.319962425752134,0.26000000000000156,0.3509999999999991,0.4229999999999947,0.6146572104019026,0.8297872340425614,131.99999999992684,13.514191856264294,0.32276385655244133,1125.7471474511965,-0.0699370704646551,0
56,25503,25.503,-9.277162858437896,0.3509999999999991,0.3930000000000007,0.4229999999999947,0.8297872340425614,0.9290780141844104,63.99999999996453,13.585428557246235,0.48563454379948057,847.7830212173384,0.025835722382283332,0
57,25896,25.896,-150.56634541854513,0.3930000000000007,0.6729999999999983,0.4229999999999947,0.9290780141844104,1.5910165484633727,24.999999999986144,341.45026148300246,6.303983817134223,23583.046901157755,0.7180534814639191,0
58,26569,26.569,-12.850383139893943,0.6729999999999983,0.2870000000000026,0.4229999999999947,1.5910165484633727,0.6784869976359484,213.9999999998814,13.375231948695111,0.34502580898753554,812.9468346984708,-0.006681579646170976,0
59,26856,26.856,-154.85996534895727,0.2870000000000026,0.3689999999999998,0.4229999999999947,0.6784869976359484,0.8723404255319253,45.999999999974506,290.9154281098565,5.8713512795129,19831.008525147863,0.8359911969968002,0
60,27225,27.225,-3.8213706814329567,0.3689999999999998,0.570999999999998,0.4229999999999947,0.8723404255319253,1.3498817966903194,21.999999999987807,32.67947332060971,0.7775141923246843,1178.584727666784,-0.1451186068542903,0
61,27796,27.796,-136.50001307260027,0.570999999999998,0.5010000000000012,0.4229999999999947,1.3498817966903194,1.184397163120585,26.999999999985036,320.81262923953744,5.8428290987752804,22429.247516780015,0.6875552605012604,0
62,28297,28.297,-13.575844107246663,0.5010000000000012,0.4469999999999992,0.4229999999999947,1.184397163120585,1.0567375886524935,100.99999999994402,18.7979449700957,0.4168764620514696,930.0746283416264,0.29755460567626946,0
63,28744,28.744,-144.24931102829032,0.4469999999999992,0.2510000000000012,0.4229999999999947,1.0567375886524935,0.5933806146572207,24.999999999986144,315.8148533674813,5.878355339942336,22241.38881236638,0.7480501443077765,0
64,28995,28.995,-7.885361472062664,0.2510000000000012,0.6920000000000002,0.4229999999999947,0.5933806146572207,1.635933806146593,75.99999999995788,30.307289479740994,1.071690968573299,1268.3623851046807,0.06062878541825109,0
65,29687,29.687,-147.5325743665935,0.6920000000000002,0.5789999999999971,0.4229999999999947,1.635933806146593,1.3687943262411448,35.99999999998005,291.0905273660694,5.633396266512289,20144.221365922498,0.8062933439781125,0
66,30266,30.266,-6.100553656629028,0.5789999999999971,0.33800000000000097,0.4229999999999947,1.3687943262411448,0.7990543735224709,129.99999999992795,14.413681425371905,0.3730087059870994,465.4036834936334,0.058505909104222716,0
67,30604,30.604,-135.15841823534942,0.33800000000000097,0.5429999999999993,0.4229999999999947,0.7990543735224709,1.2836879432624257,25.99999999998559,295.26284241011365,5.494788273906504,20150.15072792707,0.7302214834145975,0
68,31147,31.147,-12.253789035916748,0.5429999999999993,0.39800000000000324,0.4229999999999947,1.2836879432624257,0.9408983451536838,144.99999999991965,14.121752011339268,0.4096428326291456,740.3446173002699,0.06208979922978188,0
69,31545,31.545,-146.64732970949143,0.39800000000000324,0.3689999999999998,0.4229999999999947,0.9408983451536838,0.8723404255319253,25.99999999998559,339.71891091624855,6.340767409944766,23550.854444182525,0.6970592793633184,0
70,31914,31.914,-11.696751052022037,0.3689999999999998,0.5760000000000005,0.4229999999999947,0.8723404255319253,1.3617021276595926,92.99999999994846,28.780351648969614,0.763923795345036,1079.255155418529,0.07559721427221326,0
71,32490,32.49,-143.2969783966225,0.5760000000000005,0.5479999999999947,0.4229999999999947,1.3617021276595926,1.2955082742316821,23.9999999999867,313.71869389658286,5.803411884547562,21851.138615876305,0.7649521909783756,0
72,33038,33.038,-17.65599562642795,0.5479999999999947,0.3860000000000028,0.4229999999999947,1.2955082742316821,0.9125295508274411,211.9999999998825,15.212073361425773,0.5012812160297949,858.1576615814614,0.06023627348271393,0
73,33424,33.424,-145.3223093434995,0.3860000000000028,0.5579999999999998,0.4229999999999947,0.9125295508274411,1.3191489361702289,49.99999999997229,288.2505885366255,5.523251793523878,20131.30098220203,0.8231801578878786,0
74,33982,33.982,-11.753908016206992,0.5579999999999998,0.35999999999999943,0.4229999999999947,1.3191489361702289,0.8510638297872434,160.99999999991078,20.412417449625323,0.5369591698902282,953.3148932440413,0.04533661764549281,0
75,34342,34.342,-148.7320111083839,0.35999999999999943,0.41900000000000404,0.4229999999999947,0.8510638297872434,0.9905437352246083,36.999999999979494,312.1829974154531,5.717773906609616,21666.004683672218,0.780218109075868,0
76,34761,34.761,-9.179473777788036,0.41900000000000404,0.5259999999999962,0.4229999999999947,0.9905437352246083,1.2434988179669098,173.99999999990357,13.108873533146369,0.316453924128203,789.7181575569182,0.2149804519720759,0
77,35287,35.287,-148.02016599840135,0.5259999999999962,0.39800000000000324,0.4229999999999947,1.2434988179669098,0.9408983451536838,24.999999999986144,327.3030473705884,5.9923701697556995,22836.24789877028,0.5902053862700511,0
78,35685,35.685,-185.55487051473136,0.39800000000000324,0.4029999999999987,0.4229999999999947,0.9408983451536838,0.9527186761229403,117.9999999999346,249.86158102060674,7.902572363409894,10504.511320082132,0.5176196213589679,0
79,36088,36.088,-58.76141380966253,0.4029999999999987,0.5139999999999958,0.4229999999999947,0.9527186761229403,1.2151300236406672,200.99999999988862,26.957777776682605,0.6732402011397274,1134.291443424576,0.5279484287078555,0
80,36602,36.602,-8.486337385290064,0.5139999999999958,0.40500000000000114,0.4229999999999947,1.2151300236406672,0.957446808510653,117.9999999999346,11.592514066320916,0.31419955137779565,573.9337858860353,0.08310681190680246,0
81,37007,37.007,-146.13327632148966,0.40500000000000114,0.5730000000000004,0.4229999999999947,0.957446808510653,1.354609929078032,41.99999999997672,309.21135603410755,6.540892587571682,21143.365796561302,0.7734028548657708,0
82,37580,37.58,-22.362018991369617,0.5730000000000004,0.3200000000000003,0.4229999999999947,1.354609929078032,0.756501182033107,154.9999999999141,12.482376592047844,0.27506617403105965,1291.1598060046765,0.16343043854810385,0
